Datetime,index,Open,High,Low,Close,Volume
2025-06-02 02:00:00-04:00,214,104781.2,104910.0,104743.8,104891.9,372.817
2025-06-02 01:55:00-04:00,215,104738.3,104790.0,104733.9,104781.2,144.624
2025-06-02 01:50:00-04:00,216,104717.3,104745.7,104682.9,104738.4,184.125
2025-06-02 01:45:00-04:00,217,104630.9,104727.9,104549.8,104717.3,466.884
2025-06-02 01:40:00-04:00,218,104651.7,104699.0,104630.9,104630.9,289.49
2025-06-02 01:35:00-04:00,219,104705.3,104727.2,104620.6,104651.7,419.447
2025-06-02 01:30:00-04:00,220,104764.7,104787.1,104661.0,104705.3,181.198
2025-06-02 01:25:00-04:00,221,104763.9,104795.8,104745.0,104764.6,100.593
2025-06-02 01:20:00-04:00,222,104705.6,104764.0,104676.8,104764.0,275.496
2025-06-02 01:15:00-04:00,223,104868.2,104879.2,104705.6,104705.7,234.327
2025-06-02 01:10:00-04:00,224,104833.9,104882.9,104833.8,104868.2,189.448
2025-06-02 01:05:00-04:00,225,104702.0,104833.9,104701.9,104833.8,206.847
2025-06-02 01:00:00-04:00,226,104736.4,104782.2,104638.0,104701.9,277.734
2025-06-02 00:55:00-04:00,227,104660.0,104736.4,104660.0,104736.3,231.445
2025-06-02 00:50:00-04:00,228,104863.5,104863.5,104650.1,104660.0,374.895
2025-06-02 00:45:00-04:00,229,104850.1,104889.7,104836.0,104863.5,96.422
2025-06-02 00:40:00-04:00,230,104844.1,104907.2,104840.0,104850.0,128.004
2025-06-02 00:35:00-04:00,231,104931.4,104937.3,104844.0,104844.1,102.748
2025-06-02 00:30:00-04:00,232,104865.7,104939.1,104855.7,104931.4,113.035
2025-06-02 00:25:00-04:00,233,104880.1,104882.2,104846.3,104865.8,99.9
2025-06-02 00:20:00-04:00,234,104872.7,104899.0,104862.7,104880.1,118.758
2025-06-02 00:15:00-04:00,235,104869.8,104958.9,104846.1,104872.7,425.208
2025-06-02 00:10:00-04:00,236,104698.0,104869.8,104679.9,104869.8,221.984
2025-06-02 00:05:00-04:00,237,104805.1,104824.5,104698.0,104698.0,383.211
2025-06-02 00:00:00-04:00,238,104781.8,104875.3,104775.1,104805.0,292.154
2025-06-01 23:55:00-04:00,239,104793.1,104834.0,104780.0,104781.8,166.703
2025-06-01 23:50:00-04:00,240,104860.2,104864.6,104780.2,104793.1,304.646
2025-06-01 23:45:00-04:00,241,104880.2,104936.2,104832.4,104860.2,277.117
2025-06-01 23:40:00-04:00,242,104860.0,104959.0,104857.0,104880.2,389.095
2025-06-01 23:35:00-04:00,243,104814.0,104868.7,104780.5,104860.0,295.466
2025-06-01 23:30:00-04:00,244,104779.6,104844.0,104763.9,104814.0,510.537
2025-06-01 23:25:00-04:00,245,104700.1,104783.9,104690.0,104779.6,551.393
2025-06-01 23:20:00-04:00,246,104630.0,104711.8,104520.0,104700.1,1135.858
2025-06-01 23:15:00-04:00,247,104742.5,104820.5,104627.3,104629.9,786.365
2025-06-01 23:10:00-04:00,248,104821.3,104827.1,104736.2,104742.4,692.597
2025-06-01 23:05:00-04:00,249,104876.9,104876.9,104801.1,104821.2,624.942
2025-06-01 23:00:00-04:00,250,104986.9,105016.4,104870.7,104876.9,533.516
2025-06-01 22:55:00-04:00,251,105030.5,105046.6,104958.2,104986.9,399.189
2025-06-01 22:50:00-04:00,252,105136.0,105136.0,105000.3,105030.6,852.377
2025-06-01 22:45:00-04:00,253,105259.1,105284.5,105119.6,105136.0,231.101
2025-06-01 22:40:00-04:00,254,105195.6,105311.0,105195.6,105259.0,240.782
2025-06-01 22:35:00-04:00,255,105185.1,105201.2,105130.4,105195.6,353.544
2025-06-01 22:30:00-04:00,256,105225.6,105254.5,105126.1,105185.2,463.539
2025-06-01 22:25:00-04:00,257,105118.3,105264.9,105088.0,105225.6,383.604
2025-06-01 22:20:00-04:00,258,105141.1,105157.4,105105.0,105118.3,394.264
2025-06-01 22:15:00-04:00,259,105190.9,105232.0,105141.0,105141.0,241.312
2025-06-01 22:10:00-04:00,260,105180.3,105207.7,105152.3,105190.9,327.833
2025-06-01 22:05:00-04:00,261,105232.3,105294.3,105175.8,105180.3,429.191
2025-06-01 22:00:00-04:00,262,105327.7,105368.3,105232.3,105232.3,541.029
2025-06-01 21:55:00-04:00,263,105348.9,105366.6,105327.6,105327.6,124.554
2025-06-01 21:50:00-04:00,264,105358.6,105385.7,105336.1,105348.9,116.432
2025-06-01 21:45:00-04:00,265,105339.0,105376.2,105322.8,105358.5,166.214
2025-06-01 21:40:00-04:00,266,105307.4,105347.4,105290.4,105339.1,186.322
2025-06-01 21:35:00-04:00,267,105349.8,105397.3,105300.1,105307.4,333.108
2025-06-01 21:30:00-04:00,268,105416.1,105419.1,105324.6,105349.8,245.686
2025-06-01 21:25:00-04:00,269,105542.5,105545.6,105390.5,105416.0,219.286
2025-06-01 21:20:00-04:00,270,105494.2,105602.0,105458.6,105542.5,195.462
2025-06-01 21:15:00-04:00,271,105582.0,105582.1,105465.3,105494.2,162.191
2025-06-01 21:10:00-04:00,272,105464.9,105584.0,105462.9,105582.1,229.493
2025-06-01 21:05:00-04:00,273,105403.8,105520.0,105391.4,105465.0,221.32
2025-06-01 21:00:00-04:00,274,105379.2,105429.3,105372.5,105403.8,359.473
2025-06-01 20:55:00-04:00,275,105395.9,105405.8,105362.7,105379.1,327.436
2025-06-01 20:50:00-04:00,276,105416.2,105496.3,105390.0,105396.0,241.247
2025-06-01 20:45:00-04:00,277,105504.3,105517.8,105416.1,105416.1,164.26
2025-06-01 20:40:00-04:00,278,105498.0,105532.5,105434.0,105504.2,194.123
2025-06-01 20:35:00-04:00,279,105446.8,105498.0,105391.1,105497.9,206.836
2025-06-01 20:30:00-04:00,280,105420.3,105537.0,105400.0,105446.9,281.832
2025-06-01 20:25:00-04:00,281,105492.6,105532.2,105418.6,105420.4,194.741
2025-06-01 20:20:00-04:00,282,105464.9,105550.0,105351.8,105492.4,641.736
2025-06-01 20:15:00-04:00,283,105545.5,105623.9,105408.1,105464.8,391.459
2025-06-01 20:10:00-04:00,284,105601.7,105700.0,105480.0,105545.4,417.641
2025-06-01 20:05:00-04:00,285,105595.7,105616.0,105445.2,105601.7,608.069
2025-06-01 20:00:00-04:00,286,105583.3,105600.0,105532.5,105595.6,259.22
2025-06-01 19:55:00-04:00,287,105573.5,105597.4,105534.4,105583.3,274.532
2025-06-01 19:50:00-04:00,288,105600.6,105604.0,105538.6,105573.6,212.552
2025-06-01 19:45:00-04:00,289,105592.7,105687.6,105592.6,105600.6,160.171
2025-06-01 19:40:00-04:00,290,105670.7,105670.7,105574.2,105592.6,155.516
2025-06-01 19:35:00-04:00,291,105675.9,105741.8,105630.2,105670.6,164.936
2025-06-01 19:30:00-04:00,292,105644.8,105696.5,105570.0,105675.9,354.608
2025-06-01 19:25:00-04:00,293,105683.2,105747.2,105629.3,105644.7,210.133
2025-06-01 19:20:00-04:00,294,105761.0,105823.6,105682.1,105683.2,622.761
2025-06-01 19:15:00-04:00,295,105725.0,105761.0,105631.7,105760.9,278.913
2025-06-01 19:10:00-04:00,296,105722.8,105760.0,105651.6,105725.0,497.96
